FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;COMUNA;FECHA(YYYYMMDD)
100111;0;;;70.4397;Concepcion;20100111
100112;0;;;1.355;Concepcion;20100112
100113;0;;;1.355;Concepcion;20100113
100114;0;;;1.355;Concepcion;20100114
100115;0;;;86.7;Concepcion;20100115
100116;0;;;52.83;Concepcion;20100116
100117;0;;;81.4247;Concepcion;20100117
100118;0;;;1.355;Concepcion;20100118
100119;0;;;17.61;Concepcion;20100119
100120;0;;;35.22;Concepcion;20100120
100121;0;;;200.5;Concepcion;20100121
100122;0;;;101.6;Concepcion;20100122
100123;0;;;93.5;Concepcion;20100123
100124;0;;;174.7;Concepcion;20100124
100125;0;;;35.22;Concepcion;20100125
100126;0;;;159.8;Concepcion;20100126
100127;0;;;58.25;Concepcion;20100127
100128;0;;;139.5;Concepcion;20100128
100129;0;;;159.8;Concepcion;20100129
100130;0;;;1.355;Concepcion;20100130
100131;0;;;1.355;Concepcion;20100131
100201;0;;;1.355;Concepcion;20100201
100202;0;;;73.1499;Concepcion;20100202
100203;0;;;8.12999;Concepcion;20100203
100204;0;;;20.32;Concepcion;20100204
100205;0;;;1.355;Concepcion;20100205
100206;0;;;1.355;Concepcion;20100206
100207;0;;;1.355;Concepcion;20100207
100208;0;;;1.355;Concepcion;20100208
100209;0;;;1.355;Concepcion;20100209
100210;0;;;1.355;Concepcion;20100210
100211;0;;;1.355;Concepcion;20100211
100212;0;;;1.355;Concepcion;20100212
100213;0;;;1.355;Concepcion;20100213
100214;0;;;1.355;Concepcion;20100214
100215;0;;;1.355;Concepcion;20100215
100216;0;;;73.1499;Concepcion;20100216
100217;0;;;1.355;Concepcion;20100217
100218;0;;;1.355;Concepcion;20100218
100219;0;;;1.355;Concepcion;20100219
100220;0;;;1.355;Concepcion;20100220
100221;0;;;1.355;Concepcion;20100221
100222;0;;;1.355;Concepcion;20100222
100223;0;;;1.355;Concepcion;20100223
100224;0;;;1.355;Concepcion;20100224
100225;0;;;1.355;Concepcion;20100225
100226;0;;;1.355;Concepcion;20100226
100227;0;;;1.355;Concepcion;20100227
100228;0;;;;Concepcion;20100228
100301;0;;;;Concepcion;20100301
100302;0;;;;Concepcion;20100302
100303;0;;;;Concepcion;20100303
100304;0;;;;Concepcion;20100304
100305;0;;;;Concepcion;20100305
100306;0;;;;Concepcion;20100306
100307;0;;;;Concepcion;20100307
100308;0;;;;Concepcion;20100308
100309;0;;;;Concepcion;20100309
100310;0;;;1.355;Concepcion;20100310
100311;0;;;1.355;Concepcion;20100311
100312;0;;;1.355;Concepcion;20100312
100313;0;;;1.355;Concepcion;20100313
100314;0;;;1.355;Concepcion;20100314
100315;0;;;;Concepcion;20100315
100316;0;;;1.355;Concepcion;20100316
100317;0;;;;Concepcion;20100317
100318;0;;;1.355;Concepcion;20100318
100319;0;;;1.355;Concepcion;20100319
100320;0;;;1.355;Concepcion;20100320
100321;0;;;1.355;Concepcion;20100321
