CodigoNacional;momento;Total_Valor;Traza_Valor;Parcial_Valor;NumDatos_Valor;FechaPro_Valor
290004;16-03-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;17-03-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;18-03-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;19-03-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;20-03-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;21-03-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;22-03-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;23-03-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;24-03-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;25-03-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;26-03-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;27-03-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;28-03-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;29-03-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;30-03-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;31-03-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;01-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;02-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;03-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;04-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;05-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;06-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;07-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;08-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;09-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;10-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;11-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;12-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;13-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;14-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;15-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;16-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;17-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;18-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;19-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;20-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;21-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;22-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;23-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;24-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;25-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;26-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;27-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;28-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;29-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;30-04-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;01-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;02-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;03-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;04-05-1954 12:00:00;4.0;0.0;0.0;1.0;2018.0
290004;05-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;06-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;07-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;08-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
290004;09-05-1954 12:00:00;0.0;0.0;0.0;1.0;2018.0
