FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;FECHA(YYYYMMDD)
000722;0;47,9166;;;20000722
000723;0;71,2083;;;20000723
000724;0;100,667;;;20000724
000725;0;89,5652;;;20000725
000726;0;60,5;;;20000726
000727;0;71,625;;;20000727
000728;0;90,8333;;;20000728
000729;0;66,5833;;;20000729
000730;0;;;;20000730
000731;0;68,7083;;;20000731
000801;0;47,125;;;20000801
000802;0;76;;;20000802
000803;0;54,5416;;;20000803
000804;0;46,375;;;20000804
000805;0;60;;;20000805
000806;0;63,5;;;20000806
000807;0;60,5416;;;20000807
000808;0;53,875;;;20000808
000809;0;53;;;20000809
000810;0;58,6666;;;20000810
000811;0;23,625;;;20000811
000812;0;23,9583;;;20000812
000813;0;28,6667;;;20000813
000814;0;14,2917;;;20000814
000815;0;48,625;;;20000815
000816;0;81,25;;;20000816
000817;0;82,25;;;20000817
000818;0;57,875;;;20000818
000819;0;55,5;;;20000819
000820;0;41,4166;;;20000820
000821;0;58,25;;;20000821
000822;0;46,826;;;20000822
000823;0;28,0417;;;20000823
000824;0;23,125;;;20000824
000825;0;25,0417;;;20000825
000826;0;28,5417;;;20000826
000827;0;22,7917;;;20000827
000828;0;51,9166;;;20000828
000829;0;59,125;;;20000829
000830;0;27,9091;;;20000830
000831;0;46,6666;;;20000831
000901;0;42;;;20000901
000902;0;54,3333;;;20000902
000903;0;49,125;;;20000903
000904;0;36,0833;;;20000904
000905;0;47,4583;;;20000905
000906;0;47,375;;;20000906
000907;0;28,7917;;;20000907
000908;0;49,5833;;;20000908
000909;0;18,3333;;;20000909
000910;0;7,08333;;;20000910
000911;0;26,4583;;;20000911
000912;0;31,8333;;;20000912
000913;0;17,3333;;;20000913
000914;0;23,25;;;20000914
000915;0;23,1667;;;20000915
000916;0;33,1666;;;20000916
000917;0;32,9166;;;20000917
000918;0;19;;;20000918
000919;0;31,8333;;;20000919
000920;0;12,2917;;;20000920
000921;0;36,125;;;20000921
000922;0;39,625;;;20000922
000923;0;17,7917;;;20000923
000924;0;26,7917;;;20000924
000925;0;39,125;;;20000925
000926;0;49,3333;;;20000926
000927;0;38,375;;;20000927
000928;0;18,2727;;;20000928
000929;0;36,6364;;;20000929
000930;0;38,0833;;;20000930
001001;0;23,5;;;20001001
001002;0;8,20833;;;20001002
001003;0;13,6667;;;20001003
001004;0;25,2917;;;20001004
001005;0;31,6667;;;20001005
001006;0;25,8333;;;20001006
001007;0;30,25;;;20001007
001008;0;11,75;;;20001008
001009;0;15,1667;;;20001009
001010;0;23,5417;;;20001010
001011;0;22,9167;;;20001011
001012;0;17,2083;;;20001012
001013;0;26,4583;;;20001013
001014;0;23,9167;;;20001014
001015;0;14,5833;;;20001015
001016;0;26,5;;;20001016
001017;0;35,7916;;;20001017
001018;0;28,1667;;;20001018
001019;0;36,5416;;;20001019
001020;0;28,25;;;20001020
001021;0;19,4583;;;20001021
001022;0;17,5417;;;20001022
001023;0;13,75;;;20001023
001024;0;12,9474;;;20001024
001025;0;14,8333;;;20001025
001026;0;33,0416;;;20001026
001027;0;39,5416;;;20001027
001028;0;41,0833;;;20001028
001029;0;29,4167;;;20001029
001030;0;17,0909;;;20001030
001031;0;20,2083;;;20001031
001101;0;19,0833;;;20001101
001102;0;19,3333;;;20001102
001103;0;11,9167;;;20001103
001104;0;19,9583;;;20001104
001105;0;12;;;20001105
001106;0;14,5417;;;20001106
001107;0;18,2917;;;20001107
001108;0;16,7083;;;20001108
001109;0;18,625;;;20001109
001110;0;19,5833;;;20001110
001111;0;11,4583;;;20001111
001112;0;10,3333;;;20001112
001113;0;12,2083;;;20001113
001114;0;23,75;;;20001114
001115;0;23,5;;;20001115
001116;0;30,75;;;20001116
001117;0;31,0417;;;20001117
001118;0;21,75;;;20001118
001119;0;14,375;;;20001119
001120;0;19,125;;;20001120
001121;0;25,625;;;20001121
001122;0;31;;;20001122
001123;0;22,0417;;;20001123
001124;0;20,5833;;;20001124
001125;0;27,2083;;;20001125
001126;0;19,4583;;;20001126
001127;0;13,75;;;20001127
001128;0;18,7083;;;20001128
001129;0;23,25;;;20001129
001130;0;26,625;;;20001130
001201;0;25,2917;;;20001201
001202;0;17,625;;;20001202
001203;0;17,4167;;;20001203
001204;0;19,375;;;20001204
001205;0;27,125;;;20001205
001206;0;19,7273;;;20001206
001207;0;23,375;;;20001207
001208;0;26,8333;;;20001208
001209;0;24,5833;;;20001209
001210;0;23,0833;;;20001210
001211;0;18,75;;;20001211
001212;0;19,625;;;20001212
001213;0;16,4583;;;20001213
001214;0;11,625;;;20001214
001215;0;14,9583;;;20001215
001216;0;25,25;;;20001216
001217;0;24,25;;;20001217
001218;0;22,5417;;;20001218
001219;0;23,3333;;;20001219
001220;0;22,125;;;20001220
001221;0;20,875;;;20001221
001222;0;19,125;;;20001222
001223;0;17,9583;;;20001223
001224;0;19,5;;;20001224
001225;0;9,5;;;20001225
001226;0;9,375;;;20001226
001227;0;16,125;;;20001227
001228;0;20,0417;;;20001228
001229;0;27,5833;;;20001229
001230;0;30,3333;;;20001230
001231;0;28,6087;;;20001231
010101;0;;;;20010101
010102;0;;;;20010102
010103;0;;;;20010103
010104;0;;;;20010104
010105;0;;;;20010105
010106;0;;;;20010106
010107;0;;;;20010107
010108;0;;;;20010108
010109;0;;;;20010109
010110;0;;;;20010110
010111;0;;;;20010111
010112;0;;;;20010112
010113;0;;;;20010113
010114;0;;;;20010114
010115;0;;;;20010115
010116;0;;;;20010116
010117;0;;;;20010117
010118;0;;;;20010118
010119;0;;;;20010119
010120;0;;;;20010120
010121;0;;;;20010121
010122;0;;;;20010122
010123;0;;;;20010123
010124;0;;;;20010124
010125;0;;;;20010125
010126;0;;;;20010126
010127;0;;;;20010127
010128;0;;;;20010128
010129;0;;;;20010129
010130;0;;;;20010130
010131;0;;;;20010131
010201;0;;;;20010201
010202;0;;;;20010202
010203;0;;;;20010203
010204;0;;;;20010204
010205;0;;;;20010205
010206;0;;;;20010206
010207;0;;;;20010207
010208;0;;;;20010208
010209;0;;;;20010209
010210;0;;;;20010210
010211;0;;;;20010211
010212;0;;;;20010212
010213;0;;;;20010213
010214;0;;;;20010214
010215;0;;;;20010215
010216;0;;;;20010216
010217;0;;;;20010217
010218;0;;;;20010218
010219;0;;;;20010219
010220;0;;;;20010220
010221;0;;;;20010221
010222;0;;;;20010222
010223;0;;;;20010223
010224;0;;;;20010224
010225;0;;;;20010225
010226;0;;;;20010226
010227;0;;;;20010227
010228;0;;;;20010228
010301;0;;;;20010301
010302;0;;;;20010302
010303;0;;;;20010303
010304;0;;;;20010304
010305;0;;;;20010305
010306;0;;;;20010306
010307;0;;;;20010307
010308;0;;;;20010308
010309;0;;;;20010309
010310;0;;;;20010310
010311;0;;;;20010311
010312;0;;;;20010312
010313;0;;;;20010313
010314;0;;;;20010314
010315;0;;;;20010315
010316;0;;;;20010316
010317;0;;;;20010317
010318;0;;;;20010318
010319;0;;;;20010319
010320;0;;;;20010320
010321;0;;;;20010321
010322;0;;;;20010322
010323;0;;;;20010323
010324;0;;;;20010324
010325;0;;;;20010325
010326;0;;;;20010326
010327;0;;;;20010327
010328;0;;;;20010328
010329;0;;;;20010329
010330;0;;;;20010330
010331;0;;;;20010331
010401;0;;;;20010401
010402;0;;;;20010402
010403;0;;;;20010403
010404;0;;;;20010404
010405;0;;;;20010405
010406;0;;;;20010406
010407;0;;;;20010407
010408;0;;;;20010408
010409;0;;;;20010409
010410;0;;;;20010410
010411;0;;;;20010411
010412;0;;;;20010412
010413;0;;;;20010413
010414;0;;;;20010414
010415;0;;;;20010415
010416;0;;;;20010416
010417;0;;;;20010417
010418;0;;;;20010418
010419;0;;;;20010419
010420;0;;;;20010420
010421;0;;;;20010421
010422;0;;;;20010422
010423;0;;;;20010423
010424;0;;;;20010424
010425;0;;;;20010425
010426;0;;;;20010426
010427;0;;;;20010427
010428;0;;;;20010428
010429;0;;;;20010429
010430;0;26,4167;;;20010430
010501;0;41,375;;;20010501
010502;0;56,4583;;;20010502
010503;0;79,375;;;20010503
010504;0;54,9167;;;20010504
010505;0;59,4583;;;20010505
010506;0;51,6667;;;20010506
010507;0;28,7083;;;20010507
010508;0;43,7083;;;20010508
010509;0;58,25;;;20010509
010510;0;39,875;;;20010510
010511;0;58,9524;;;20010511
010512;0;78,6667;;;20010512
010513;0;68,5;;;20010513
010514;0;54,8095;;;20010514
010515;0;17,75;;;20010515
010516;0;65,5714;;;20010516
010517;0;118,208;;;20010517
010518;0;31,1667;;;20010518
010519;0;50,0833;;;20010519
010520;0;42,1667;;;20010520
010521;0;46,375;;;20010521
010522;0;61,4167;;;20010522
010523;0;74,9583;;;20010523
010524;0;48,4167;;;20010524
010525;0;54,25;;;20010525
010526;0;78,5;;;20010526
010527;0;33,1667;;;20010527
010528;0;27,9474;;;20010528
010529;0;10,375;;;20010529
010530;0;;;;20010530
010531;0;25,7083;;;20010531
010601;0;53,5;;;20010601
010602;0;34,0417;;;20010602
010603;0;53,5;;;20010603
010604;0;59,5833;;;20010604
010605;0;60,0833;;;20010605
010606;0;72,9167;;;20010606
010607;0;79,8333;;;20010607
010608;0;75,875;;;20010608
010609;0;106,458;;;20010609
010610;0;42,5833;;;20010610
010611;0;36,5833;;;20010611
010612;0;64;;;20010612
010613;0;138,545;;;20010613
010614;0;55,5833;;;20010614
010615;0;12,5833;;;20010615
010616;0;63,5;;;20010616
010617;0;51,9167;;;20010617
010618;0;56,4583;;;20010618
010619;0;79,4167;;;20010619
010620;0;77,6667;;;20010620
010621;0;81,625;;;20010621
010622;0;76,5;;;20010622
010623;0;47,9167;;;20010623
010624;0;57,7619;;;20010624
010625;0;63,6667;;;20010625
010626;0;108,773;;;20010626
010627;0;61,7083;;;20010627
010628;0;77,75;;;20010628
010629;0;70,9167;;;20010629
010630;0;80,1667;;;20010630
010701;0;44,5;;;20010701
010702;0;51,5;;;20010702
010703;0;81,5833;;;20010703
010704;0;78,25;;;20010704
010705;0;87,2083;;;20010705
010706;0;56,0417;;;20010706
010707;0;77,5833;;;20010707
010708;0;28,2083;;;20010708
010709;0;20,875;;;20010709
010710;0;27,6818;;;20010710
010711;0;82,2083;;;20010711
010712;0;29,2083;;;20010712
010713;0;27,125;;;20010713
010714;0;68,25;;;20010714
010715;0;40,4167;;;20010715
010716;0;30,5833;;;20010716
010717;0;24,3333;;;20010717
010718;0;27,3333;;;20010718
010719;0;8,83333;;;20010719
010720;0;27,2083;;;20010720
010721;0;27,5833;;;20010721
010722;0;73,4583;;;20010722
010723;0;48,8333;;;20010723
010724;0;26,25;;;20010724
010725;0;42,5417;;;20010725
010726;0;77,5417;;;20010726
010727;0;74,375;;;20010727
010728;0;45,7083;;;20010728
010729;0;13,7083;;;20010729
010730;0;13,3182;;;20010730
010731;0;61,9524;;;20010731
010801;0;44,75;;;20010801
010802;0;35,7083;;;20010802
010803;0;51,7083;;;20010803
010804;0;16,55;;;20010804
010805;0;;;;20010805
010806;0;43,6667;;;20010806
010807;0;59,2083;;;20010807
010808;0;54,9167;;;20010808
010809;0;77,75;;;20010809
010810;0;49,6667;;;20010810
010811;0;33,25;;;20010811
010812;0;42,0417;;;20010812
010813;0;26,875;;;20010813
010814;0;18,4167;;;20010814
010815;0;35,25;;;20010815
010816;0;;;;20010816
010817;0;;;;20010817
010818;0;33,0417;;;20010818
010819;0;57,4167;;;20010819
010820;0;62,7917;;;20010820
010821;0;86;;;20010821
010822;0;73,2856;;;20010822
010823;0;43,25;;;20010823
010824;0;31,4167;;;20010824
010825;0;;;;20010825
010826;0;5,95455;;;20010826
010827;0;29,7083;;;20010827
010828;0;59,7917;;;20010828
010829;0;23,0417;;;20010829
010830;0;11,875;;;20010830
010831;0;14,4167;;;20010831
010901;0;22,25;;;20010901
010902;0;26,9583;;;20010902
010903;0;17,25;;;20010903
010904;0;26,5833;;;20010904
010905;0;25,7917;;;20010905
010906;0;20,0417;;;20010906
010907;0;29,0417;;;20010907
010908;0;30,9583;;;20010908
010909;0;40,7917;;;20010909
010910;0;46,6667;;;20010910
010911;0;35,2917;;;20010911
010912;0;18,2083;;;20010912
010913;0;34,125;;;20010913
010914;0;49,9167;;;20010914
010915;0;49,7083;;;20010915
010916;0;23;;;20010916
010917;0;18,2917;;;20010917
010918;0;40,3333;;;20010918
010919;0;42,375;;;20010919
010920;0;20,1667;;;20010920
010921;0;43,5;;;20010921
010922;0;45,625;;;20010922
010923;0;20,6667;;;20010923
010924;0;37,375;;;20010924
010925;0;25,1818;;;20010925
010926;0;15,7917;;;20010926
010927;0;22,125;;;20010927
010928;0;21,0417;;;20010928
010929;0;9,79167;;;20010929
010930;0;14,3333;;;20010930
011001;0;29,8333;;;20011001
011002;0;30,5833;;;20011002
011003;0;20,0417;;;20011003
011004;0;24,5833;;;20011004
011005;0;27,2083;;;20011005
011006;0;11,7083;;;20011006
011007;0;8,25;;;20011007
011008;0;19,625;;;20011008
011009;0;30,375;;;20011009
011010;0;;;;20011010
011011;0;24,2083;;;20011011
011012;0;30,25;;;20011012
011013;0;31,7917;;;20011013
011014;0;28,4167;;;20011014
011015;0;22,3333;;;20011015
011016;0;29,5833;;;20011016
011017;0;23,2083;;;20011017
011018;0;21,875;;;20011018
011019;0;18,125;;;20011019
011020;0;21,25;;;20011020
011021;0;21,7083;;;20011021
011022;0;20,5833;;;20011022
011023;0;31,625;;;20011023
011024;0;22,4583;;;20011024
011025;0;20,4167;;;20011025
011026;0;30,375;;;20011026
011027;0;20,375;;;20011027
011028;0;17;;;20011028
011029;0;21,8333;;;20011029
011030;0;26,2083;;;20011030
011031;0;20,4583;;;20011031
011101;0;18,125;;;20011101
011102;0;25,5;;;20011102
011103;0;23,6667;;;20011103
011104;0;12;;;20011104
011105;0;10,8333;;;20011105
011106;0;15,7778;;;20011106
011107;0;17,375;;;20011107
011108;0;25,5833;;;20011108
011109;0;15,9583;;;20011109
011110;0;13,25;;;20011110
011111;0;16,0833;;;20011111
011112;0;12,375;;;20011112
011113;0;14,7917;;;20011113
011114;0;11,7917;;;20011114
011115;0;18,9583;;;20011115
011116;0;23,25;;;20011116
011117;0;31,0417;;;20011117
011118;0;23,625;;;20011118
011119;0;17,4167;;;20011119
011120;0;14,2727;;;20011120
011121;0;16,0833;;;20011121
011122;0;14,7083;;;20011122
011123;0;10,7083;;;20011123
011124;0;21,7083;;;20011124
011125;0;19,5;;;20011125
011126;0;18,9583;;;20011126
011127;0;21,6667;;;20011127
011128;0;22,125;;;20011128
011129;0;20,875;;;20011129
011130;0;26,8182;;;20011130
011201;0;21,125;;;20011201
011202;0;17,875;;;20011202
011203;0;20;;;20011203
011204;0;23,7083;;;20011204
011205;0;22,375;;;20011205
011206;0;19,375;;;20011206
011207;0;23,0417;;;20011207
011208;0;29,25;;;20011208
011209;0;17,4167;;;20011209
011210;0;19,4583;;;20011210
011211;0;29,4583;;;20011211
011212;0;21,75;;;20011212
011213;0;17,3333;;;20011213
011214;0;20,9583;;;20011214
011215;0;26,625;;;20011215
011216;0;24,9583;;;20011216
011217;0;24,3333;;;20011217
011218;0;16,5833;;;20011218
011219;0;18,875;;;20011219
011220;0;19,375;;;20011220
011221;0;15,8947;;;20011221
011222;0;24,7083;;;20011222
011223;0;30,0417;;;20011223
011224;0;29,25;;;20011224
011225;0;26,1667;;;20011225
011226;0;21,125;;;20011226
011227;0;26,4583;;;20011227
011228;0;34,6667;;;20011228
011229;0;27,5;;;20011229
011230;0;24,5417;;;20011230
011231;0;22,6667;;;20011231
020101;0;14,4167;;;20020101
020102;0;12,1667;;;20020102
020103;0;14,5;;;20020103
020104;0;16,8333;;;20020104
020105;0;23,9583;;;20020105
020106;0;23,1667;;;20020106
020107;0;15,9167;;;20020107
020108;0;13,7083;;;20020108
020109;0;24,2083;;;20020109
020110;0;19,2917;;;20020110
020111;0;20,2917;;;20020111
020112;0;18,9167;;;20020112
020113;0;12,7083;;;20020113
020114;0;22,4167;;;20020114
020115;0;24,625;;;20020115
020116;0;23,3182;;;20020116
020117;0;23,1667;;;20020117
020118;0;23,625;;;20020118
020119;0;19,4583;;;20020119
020120;0;21,4583;;;20020120
020121;0;20,375;;;20020121
020122;0;20;;;20020122
020123;0;23,625;;;20020123
020124;0;22,1667;;;20020124
020125;0;14,3333;;;20020125
020126;0;10,4167;;;20020126
020127;0;15,9167;;;20020127
020128;0;16,2083;;;20020128
020129;0;18,0909;;;20020129
020130;0;19,7917;;;20020130
020131;0;34,0416;;;20020131
020201;0;42,4166;;;20020201
020202;0;38,6666;;;20020202
020203;0;26,5833;;;20020203
020204;0;19,9167;;;20020204
020205;0;25,2917;;;20020205
020206;0;20,2857;;;20020206
020207;0;20,375;;;20020207
020208;0;15,4583;;;20020208
020209;0;17,2083;;;20020209
020210;0;13,25;;;20020210
020211;0;18,875;;;20020211
020212;0;24,7917;;;20020212
020213;0;56,9444;;;20020213
020214;0;33,9583;;;20020214
020215;0;29,25;;;20020215
020216;0;28,625;;;20020216
020217;0;22,875;;;20020217
020218;0;25,2083;;;20020218
020219;0;28,4583;;;20020219
020220;0;31,3333;;;20020220
020221;0;26,75;;;20020221
020222;0;29,5;;;20020222
020223;0;29,4583;;;20020223
020224;0;27,6667;;;20020224
020225;0;27,5;;;20020225
020226;0;28,5;;;20020226
020227;0;24,1667;;;20020227
020228;0;20,0833;;;20020228
020301;0;27,4583;;;20020301
020302;0;23,75;;;20020302
020303;0;17,6667;;;20020303
020304;0;24,7619;;;20020304
020305;0;29,2917;;;20020305
020306;0;27,4583;;;20020306
020307;0;19,3333;;;20020307
020308;0;19,75;;;20020308
020309;0;25,4167;;;20020309
020310;0;17,0833;;;20020310
020311;0;21,6667;;;20020311
020312;0;36,1666;;;20020312
020313;0;30,2917;;;20020313
020314;0;25,125;;;20020314
020315;0;26,2917;;;20020315
020316;0;21,0833;;;20020316
020317;0;26,9583;;;20020317
020318;0;21,75;;;20020318
020319;0;23,7143;;;20020319
020320;0;29,8333;;;20020320
020321;0;24,5417;;;20020321
020322;0;33,5416;;;20020322
020323;0;33,7916;;;20020323
020324;0;26,4583;;;20020324
020325;0;19;;;20020325
020326;0;30,1667;;;20020326
020327;0;29;;;20020327
020328;0;21,3333;;;20020328
020329;0;9,19048;;;20020329
020330;0;18,8333;;;20020330
020331;0;26;;;20020331
020401;0;26,375;;;20020401
020402;0;30,5;;;20020402
020403;0;36,8333;;;20020403
020404;0;41,5833;;;20020404
020405;0;40,75;;;20020405
020406;0;19,5833;;;20020406
020407;0;25,2917;;;20020407
020408;0;19;;;20020408
020409;0;27,4583;;;20020409
020410;0;;;;20020410
020411;0;20,5833;;;20020411
020412;0;21,2857;;;20020412
020413;0;32,75;;;20020413
020414;0;16,7083;;;20020414
020415;0;37,875;;;20020415
020416;0;26,625;;;20020416
020417;0;45,1666;;;20020417
020418;0;52,5416;;;20020418
020419;0;51,1666;;;20020419
020420;0;44,5;;;20020420
020421;0;41,0416;;;20020421
020422;0;40,5833;;;20020422
020423;0;65,9583;;;20020423
020424;0;43,1666;;;20020424
020425;0;29,4167;;;20020425
020426;0;57,375;;;20020426
020427;0;46,1666;;;20020427
020428;0;31,2917;;;20020428
020429;0;35,3333;;;20020429
020430;0;39,875;;;20020430
020501;0;55,75;;;20020501
020502;0;69,5454;;;20020502
020503;0;64,4166;;;20020503
020504;0;81,625;;;20020504
020505;0;74,5833;;;20020505
020506;0;50,125;;;20020506
020507;0;57,5416;;;20020507
020508;0;88,75;;;20020508
020509;0;67,8333;;;20020509
020510;0;88,3333;;;20020510
020511;0;56,0833;;;20020511
020512;0;56,9583;;;20020512
020513;0;38,5;;;20020513
020514;0;;;;20020514
020515;0;;;;20020515
020516;0;12,7917;;;20020516
020517;0;27,5833;;;20020517
020518;0;12,625;;;20020518
020519;0;6,875;;;20020519
020520;0;41,3333;;;20020520
020521;0;45,9166;;;20020521
020522;0;89,7083;;;20020522
020523;0;60,4583;;;20020523
020524;0;72,125;;;20020524
020525;0;48,5833;;;20020525
020526;0;;;;20020526
020527;0;;;;20020527
020528;0;;;;20020528
020529;0;;;;20020529
020530;0;;;;20020530
020531;0;41,3333;;;20020531
020601;0;20,9167;;;20020601
020602;0;28,0417;;;20020602
020603;0;11,5417;;;20020603
020604;0;8,66666;;;20020604
020605;0;15,375;;;20020605
020606;0;52,875;;;20020606
020607;0;56,9166;;;20020607
020608;0;42,0416;;;20020608
020609;0;51,0833;;;20020609
020610;0;73,625;;;20020610
020611;0;119,542;;;20020611
020612;0;78,8333;;;20020612
